src.domain.services.calculadora_colar | DEBUG | Collar CALC B3SA3 B3SAR151 B3SAF163: preco_compra_ativo=0.00 (ask do ativo zerado)
src.domain.services.calculadora_colar | DEBUG | Collar CALC B3SA3 B3SAR151 B3SAF162: preco_compra_ativo=0.00 (ask do ativo zerado)
src.domain.services.calculadora_colar | DEBUG | Collar CALC B3SA3 B3SAR151 B3SAF165: preco_compra_ativo=0.00 (ask do ativo zerado)
src.domain.services.calculadora_colar | DEBUG | Collar CALC B3SA3 B3SAR151 B3SAF167: preco_compra_ativo=0.00 (ask do ativo zerado)
src.domain.services.calculadora_colar | DEBUG | Collar CALC B3SA3 B3SAR151 B3SAF170: preco_compra_ativo=0.00 (ask do ativo zerado)
src.domain.services.calculadora_colar | DEBUG | Collar CALC B3SA3 B3SAR154 B3SAF160: preco_compra_ativo=0.00 (ask do ativo zerado)
src.domain.services.calculadora_colar | DEBUG | Collar CALC B3SA3 B3SAR154 B3SAF158: preco_compra_ativo=0.00 (ask do ativo zerado)
src.domain.services.calculadora_colar | DEBUG | Collar CALC B3SA3 B3SAR154 B3SAF157: preco_compra_ativo=0.00 (ask do ativo zerado)
src.domain.services.calculadora_colar | DEBUG | Collar CALC B3SA3 B3SAR154 B3SAF163: preco_compra_ativo=0.00 (ask do ativo zerado)
src.domain.services.calculadora_colar | DEBUG | Collar CALC B3SA3 B3SAR154 B3SAF162: preco_compra_ativo=0.00 (ask do ativo zerado)
src.domain.services.calculadora_colar | DEBUG | Collar CALC B3SA3 B3SAR154 B3SAF165: preco_compra_ativo=0.00 (ask do ativo zerado)
src.domain.services.calculadora_colar | DEBUG | Collar CALC B3SA3 B3SAR154 B3SAF167: preco_compra_ativo=0.00 (ask do ativo zerado)
src.domain.services.calculadora_colar | DEBUG | Collar CALC B3SA3 B3SAR154 B3SAF170: preco_compra_ativo=0.00 (ask do ativo zerado)
src.domain.services.calculadora_colar | DEBUG | Collar CALC B3SA3 B3SAR160 B3SAF158: preco_compra_ativo=0.00 (ask do ativo zerado)
src.domain.services.calculadora_colar | DEBUG | Collar CALC B3SA3 B3SAR160 B3SAF157: preco_compra_ativo=0.00 (ask do ativo zerado)
src.domain.services.calculadora_colar | DEBUG | Collar CALC B3SA3 B3SAR160 B3SAF163: preco_compra_ativo=0.00 (ask do ativo zerado)
src.domain.services.calculadora_colar | DEBUG | Collar CALC B3SA3 B3SAR160 B3SAF162: preco_compra_ativo=0.00 (ask do ativo zerado)
src.domain.services.calculadora_colar | DEBUG | Collar CALC B3SA3 B3SAR160 B3SAF165: preco_compra_ativo=0.00 (ask do ativo zerado)
src.domain.services.calculadora_colar | DEBUG | Collar CALC B3SA3 B3SAR160 B3SAF167: preco_compra_ativo=0.00 (ask do ativo zerado)
src.domain.services.calculadora_colar | DEBUG | Collar CALC B3SA3 B3SAR160 B3SAF170: preco_compra_ativo=0.00 (ask do ativo zerado)
src.domain.services.calculadora_colar | DEBUG | Collar CALC B3SA3 B3SAR158 B3SAF157: preco_compra_ativo=0.00 (ask do ativo zerado)
src.domain.services.calculadora_colar | DEBUG | Collar CALC B3SA3 B3SAR158 B3SAF163: preco_compra_ativo=0.00 (ask do ativo zerado)
src.domain.services.calculadora_colar | DEBUG | Collar CALC B3SA3 B3SAR158 B3SAF162: preco_compra_ativo=0.00 (ask do ativo zerado)
src.domain.services.calculadora_colar | DEBUG | Collar CALC B3SA3 B3SAR158 B3SAF165: preco_compra_ativo=0.00 (ask do ativo zerado)
src.domain.services.calculadora_colar | DEBUG | Collar CALC B3SA3 B3SAR158 B3SAF167: preco_compra_ativo=0.00 (ask do ativo zerado)
src.domain.services.calculadora_colar | DEBUG | Collar CALC B3SA3 B3SAR158 B3SAF170: preco_compra_ativo=0.00 (ask do ativo zerado)
src.domain.services.calculadora_colar | DEBUG | Collar CALC B3SA3 B3SAR157 B3SAF163: preco_compra_ativo=0.00 (ask do ativo zerado)
src.domain.services.calculadora_colar | DEBUG | Collar CALC B3SA3 B3SAR157 B3SAF162: preco_compra_ativo=0.00 (ask do ativo zerado)
